"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","02 Feb 2019","24","ST","51.694","50.330"
"MG","02 Feb 2019","25","CCGT/COGEN/TRIGEN","2872.485","2683.080"
"MG","02 Feb 2019","25","GT","-0.031","-0.031"
"MG","02 Feb 2019","25","IGS","15.488","7.615"
"MG","02 Feb 2019","25","ST","52.064","50.707"
"MG","02 Feb 2019","26","CCGT/COGEN/TRIGEN","2852.160","2663.324"
"MG","02 Feb 2019","26","GT","-0.032","-0.032"
"MG","02 Feb 2019","26","IGS","13.772","6.049"
"MG","02 Feb 2019","26","ST","51.122","49.774"
"MG","02 Feb 2019","27","CCGT/COGEN/TRIGEN","2840.034","2652.024"
"MG","02 Feb 2019","27","GT","-0.032","-0.032"
"MG","02 Feb 2019","27","IGS","15.221","7.881"
"MG","02 Feb 2019","27","ST","50.621","49.267"
"MG","02 Feb 2019","28","CCGT/COGEN/TRIGEN","2839.575","2652.181"
"MG","02 Feb 2019","28","GT","-0.033","-0.033"
"MG","02 Feb 2019","28","IGS","15.090","7.662"
"MG","02 Feb 2019","28","ST","51.483","50.126"
"MG","02 Feb 2019","29","CCGT/COGEN/TRIGEN","2838.435","2650.818"
"MG","02 Feb 2019","29","GT","-0.033","-0.033"
"MG","02 Feb 2019","29","IGS","11.916","4.078"
"MG","02 Feb 2019","29","ST","52.756","51.399"
"MG","02 Feb 2019","30","CCGT/COGEN/TRIGEN","2837.489","2648.608"
"MG","02 Feb 2019","30","GT","-0.048","-0.048"
"MG","02 Feb 2019","30","IGS","12.243","4.679"
"MG","02 Feb 2019","30","ST","51.864","50.519"
"MG","02 Feb 2019","31","CCGT/COGEN/TRIGEN","2830.125","2641.550"
"MG","02 Feb 2019","31","GT","-0.050","-0.050"
"MG","02 Feb 2019","31","IGS","11.836","5.367"
"MG","02 Feb 2019","31","ST","51.550","50.202"
"MG","02 Feb 2019","32","CCGT/COGEN/TRIGEN","2830.449","2642.621"
"MG","02 Feb 2019","32","GT","-0.050","-0.050"
"MG","02 Feb 2019","32","IGS","9.173","3.329"
"MG","02 Feb 2019","32","ST","50.743","49.392"
"MG","02 Feb 2019","33","CCGT/COGEN/TRIGEN","2820.659","2632.772"
"MG","02 Feb 2019","33","GT","-0.051","-0.051"
"MG","02 Feb 2019","33","IGS","8.300","2.873"
"MG","02 Feb 2019","33","ST","50.823","49.485"
"MG","02 Feb 2019","34","CCGT/COGEN/TRIGEN","2811.191","2622.847"
"MG","02 Feb 2019","34","GT","-0.052","-0.052"
"MG","02 Feb 2019","34","IGS","7.445","2.509"
"MG","02 Feb 2019","34","ST","51.224","49.882"
"MG","02 Feb 2019","35","CCGT/COGEN/TRIGEN","2798.126","2610.486"
"MG","02 Feb 2019","35","GT","-0.049","-0.049"
"MG","02 Feb 2019","35","IGS","6.129","2.101"
"MG","02 Feb 2019","35","ST","50.816","49.470"
"MG","02 Feb 2019","36","CCGT/COGEN/TRIGEN","2794.139","2606.209"
"MG","02 Feb 2019","36","GT","-0.046","-0.046"
"MG","02 Feb 2019","36","IGS","4.337","1.336"
"MG","02 Feb 2019","36","ST","50.452","49.112"
"MG","02 Feb 2019","37","CCGT/COGEN/TRIGEN","2774.672","2586.582"
"MG","02 Feb 2019","37","GT","-0.032","-0.032"
"MG","02 Feb 2019","37","IGS","2.594","0.647"
"MG","02 Feb 2019","37","ST","52.549","51.207"
"MG","02 Feb 2019","38","CCGT/COGEN/TRIGEN","2792.447","2604.090"
"MG","02 Feb 2019","38","GT","-0.034","-0.034"
"MG","02 Feb 2019","38","IGS","1.004","0.059"
"MG","02 Feb 2019","38","ST","52.642","51.297"
"MG","02 Feb 2019","39","CCGT/COGEN/TRIGEN","2840.660","2652.191"
"MG","02 Feb 2019","39","GT","-0.034","-0.034"
"MG","02 Feb 2019","39","IGS","0.071","0.001"
"MG","02 Feb 2019","39","ST","52.752","51.404"
"MG","02 Feb 2019","40","CCGT/COGEN/TRIGEN","2851.196","2662.246"
"MG","02 Feb 2019","40","GT","-0.033","-0.033"
"MG","02 Feb 2019","40","IGS","-0.002","-0.002"
"MG","02 Feb 2019","40","ST","53.981","52.641"
"MG","02 Feb 2019","41","CCGT/COGEN/TRIGEN","2848.652","2659.670"
"MG","02 Feb 2019","41","GT","-0.034","-0.034"
"MG","02 Feb 2019","41","IGS","-0.002","-0.002"
"MG","02 Feb 2019","41","ST","54.015","52.653"
"MG","02 Feb 2019","42","CCGT/COGEN/TRIGEN","2844.442","2655.130"
"MG","02 Feb 2019","42","GT","-0.034","-0.034"
"MG","02 Feb 2019","42","IGS","-0.002","-0.002"
"MG","02 Feb 2019","42","ST","54.211","52.853"
"MG","02 Feb 2019","43","CCGT/COGEN/TRIGEN","2838.700","2649.610"
"MG","02 Feb 2019","43","GT","-0.035","-0.035"
"MG","02 Feb 2019","43","IGS","-0.003","-0.003"
"MG","02 Feb 2019","43","ST","54.859","53.503"
